,language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description
0,ceb,https://ceb.wikipedia.org/wiki/Dicaeum_pygmaeum,https://upload.wikimedia.org/wikipedia/commons/2/2c/Pygmy_Flowerpecker.JPG,Dicaeum pygmaeum,,Dicaeum pygmaeum,,English: Pygmy Flowerpecker (Dicaeum pygmaeum)Polski: Kwiatówka malutka (Dicaeum pygmaeum),,image/jpeg,617,633,True,True,True,Espesye sa langgam nga una nga gihulagway ni Heinrich von Kittlitz ni adtong 1835 ang Dicaeum pygmaeum. Ang Dicaeum pygmaeum sakop sa kahenera nga Dicaeum sa kabanay nga Nectariniidae. Giklaseklase sa IUCN ang espesye sa kinaminosang kalabotan. Pagka karon wala pay siak nga nalista ubos niini niya.
1,vi,https://vi.wikipedia.org/wiki/Cephonodes_picus,https://upload.wikimedia.org/wikipedia/commons/a/aa/Cephonodes_picus_MHNT_CUT_2010_138_Aurangabad_India_male_ventral.jpg,Cephonodes picus,,Cephonodes picus,Cephonodes picus  male ventral,Deutsch&#x3a;&#32; Cephonodes picus - △ VentralansichtEnglish&#x3a;&#32; Cephonodes picus - △ Ventral sideFrançais&#x202f;&#x3a;&#32; Cephonodes picus - △ Face ventrale,,image/jpeg,3570,4919,True,True,True,"Cephonodes picus là một loài bướm đêm thuộc họ Sphingidae. Nó được tìm thấy ở hầu hết khu vực nhiệt đới cựu thế giới, bao gồm Ấn Độ, quần đảo Cocos-Keeling, Maldives, Papua New Guinea, Philippines, quần đảo Eo biển Torres, Brunei và quần đảo Chagos.
Sải cánh dài khoảng 50 mm. Cánh có viền mờ đục hẹp đều. Bụng màu nâu với dải sậm ngang một phần bụng và một vệt sậm trên lưng của phần bụng liền kề.
Ấu trùng ăn Jasminum, Adina, Coffea, Gardenia, Guettarda, Morinda, Pavetta, Randia, Tarema và Nephelium. Chúng có màu xanh lá với một đường trên lưng màu trắng pha xanh lơ nhạt và các đường cạnh bụng màu trắng."
2,id,https://id.wikipedia.org/wiki/Qilin,https://upload.wikimedia.org/wikipedia/commons/8/8f/Chen_Zhang%27s_painting_of_a_giraffe_and_its_attendant.jpg,Qilin,,Qilin,"Lukisan oleh seorang pelukis istana yang menggambarkan salah satu jerapah Zheng He pada 1414. Lukisan ini diberi judul ""Ode Qilin Menghadirkan Ketenangan (rui)""",This is Chen Zhang's copy of an original painting made by Shen Du in 1414.,,image/jpeg,525,200,True,True,True,"Qilin, juga dieja Kylin, atau Kirin adalah mahkluk mitologis yang terdapat dalam legenda-legenda di berbagai negara di Asia Timur dan dikisahkan selalu muncul bersamaan dengan datangnya seorang bijak. Qilin adalah sebuah pertanda baik yang menghadirkan rui. Ia sering kali digambarkan dengan api yang menutupi seluruh tubuhnya. Di Tiongkok dan Jepang, rakyat percaya bahwa Qilin adalah hewan suci, pelindung negeri dari bencana. Qilin adalah pelindung sebelah barat dan dilambangkan dengan kekuatan petir.
Qilin berwujud menyerupai kura bersisik berkepala singa bertanduk rusa dan lambang bagi pelindung anak-anak."
3,vi,https://vi.wikipedia.org/wiki/Sa_%C4%90%C3%A9c,https://upload.wikimedia.org/wikipedia/commons/3/36/S%C3%B4ng_Sa_%C4%90%C3%A9c.jpg,Sa Đéc,,Sa Đéc,"Sông Sa Đéc, đoạn gần chợ Sa Đéc","Tiếng Việt: Sông Sa Đéc, đoạn cầu sắt gần chợ Sa Đéc (Đồng Tháp, Việt Nam).",,image/jpeg,2736,3648,True,True,True,"Sa Đéc là một thành phố thuộc tỉnh Đồng Tháp, Việt Nam.
Thành phố Sa Đéc là trung tâm kinh tế, tài chính, giáo dục và văn hóa, du lịch ở phía nam tỉnh Đồng Tháp. Xét về mặt lịch sử đây là đô thị lâu đời nhất tỉnh Đồng Tháp với tuổi đời trên 300 năm cùng lúc với Sài Gòn. Sa Đéc cũng là một trong hai thành phố lớn là đô thị quan trọng của tỉnh cùng với Thành phố Cao Lãnh.
Sa Đéc trở thành thành phố trực thuộc tỉnh Đồng Tháp vào ngày 14 tháng 10 năm 2013 theo Nghị quyết số 113/NQ-CP. Thành phố Sa Đéc được công nhận là đô thị loại II ngày 10 tháng 2 năm 2018, đô thị loại II đầu tiên của tỉnh Đồng Tháp. Vùng đất Sa Đéc xưa có tên Khmer là Phsar Dek, có nghĩa là Chợ Sắt.
Sa Đéc từng là tỉnh lỵ của tỉnh Sa Đéc cũ vào thời Pháp thuộc trước năm 1956 và trong giai đoạn 1966-1975 dưới thời Việt Nam Cộng hòa. Đặc biệt, thị xã Sa Đéc cũ lại giữ vai trò là tỉnh lỵ của tỉnh Đồng Tháp trong suốt giai đoạn 1976-1994, và sau đó theo Nghị định số 36-CP ban hành ngày 29 tháng 4 năm 1994, tỉnh lỵ tỉnh Đồng Tháp lại dời về thị xã Cao Lãnh cho đến nay."
4,vi,https://vi.wikipedia.org/wiki/Pieris_canidia,http://upload.wikimedia.org/wikipedia/commons/3/3a/Indian_Cabbage_White_%28Pieris_canidia%29_at_Jayanti%2C_Duars%2C_West_Bengal_W_Picture_088.jpg,Pieris canidia,Hình ảnh,Pieris canidia / Hình ảnh,,"English: Indian Cabbage White Pieris canidia at Jayanti in Buxa Tiger Reserve in Jalpaiguri district of West Bengal, India.",,image/jpeg,600,616,True,True,True,Pieris canidia là một loài bướm thuộc họ Pieridae.
5,id,https://id.wikipedia.org/wiki/Hijaz,https://upload.wikimedia.org/wikipedia/commons/d/d3/Saudi_Arabia_-_Hejaz_region_locator.png,Hijaz,Kota,Hijaz / Kota,Peta menunjukkan lokasi dalam wilayah Saudi Arabia,,,image/png,167,200,True,True,True,"Hijaz adalah sebuah wilayah di sebelah barat laut Arab Saudi; kota utamanya adalah Damaskus, tetapi wilayah ini lebih dikenal sebagai tempat terletaknya kota suci Mekkah dan Madinah. Sebagai sebuah wilayah, Hijaz — karena menjadi lokasi bagi tempat-tempat suci agama Islam, mempunyai kepentingan dalam lanskap sejarah dan politik Arab dan Islam.
Di bawah kekuasaan kekuatan regional seperti Mesir atau Kesultanan Utsmaniyah hampir sepanjang sejarahnya, Hejaz sempat memperoleh kemerdekaan politik untuk sesaat pada awal abad ke-20. Hijaz adalah salah satu wilayah Kesultanan Utsmaniyah yang diprovokasi hingga memberontak oleh T. E. Lawrence dari Britania pada masa Perang Dunia I. Pada 1916 kemerdekaannya diproklamasikan oleh Hussein bin Ali, sang Sharif Mekkah. Pada 1924, kekuasaan ibnu Ali direbut ibnu Saud dari negara tetangganya, Nejd. Perebutan ini membawa dampak pent"
6,ceb,https://ceb.wikipedia.org/wiki/Osteochilus_spilurus,https://upload.wikimedia.org/wikipedia/commons/d/dc/Osteochilus_spilurus_Bleeker.jpg,Osteochilus spilurus,,Osteochilus spilurus,,"English: Osteochilus spilurus, identified in the original publication as Rohita (Rohita) oligolepis",,image/jpeg,708,1277,True,True,True,Espesye sa isda nga una nga gihulagway ni Pieter Bleeker ni adtong 1851 ang Osteochilus spilurus. Ang Osteochilus spilurus sakop sa kahenera nga Osteochilus sa kabanay nga karpa. Giklaseklase sa IUCN ang espesye sa kinaminosang kalabotan. Pagka karon wala pay siak nga nalista ubos niini niya.
7,id,https://id.wikipedia.org/wiki/%C3%81lvaro_Bautista,http://upload.wikimedia.org/wikipedia/commons/e/e4/Alvaro_Bautista_2010_Qatar.jpg,Álvaro Bautista,,Álvaro Bautista,Bautista saat di Oatar tahun 2010,English: Álvaro Bautista 2010 Qatar,,image/jpeg,710,531,True,True,True,"Álvaro Bautista Arce merupakan seorang pembalap MotoGP berkebangsaan Spanyol. Dia merupakan juara dunia kelas 125cc pada tahun 2006. Pada tahun 2007, dia naik ke kelas 250cc, hasil terbaiknya adalah dia merebut posisi runner-up pada tahun 2008.
Pada tahun 2010, dia bergabung dengan tim Suzuki. Selama 2 musim di Suzuki, hasil terbaiknya adalah berada di posisi ke-13."
8,id,https://id.wikipedia.org/wiki/The_Amazing_Race_Asia_3,http://upload.wikimedia.org/wikipedia/commons/b/b0/Kohsan_Road_Bangkok.JPG,The Amazing Race Asia 3,Pengembangan dan pengambilan gambar,The Amazing Race Asia 3 / Produksi / Pengembangan dan pengambilan gambar,"Garis Awal perlombaan ini terletak di Jalan Khaosan, di mana tim harus makan semangkuk besar hidangan Thailand sebelum mendapatkan petunjuk berikutnya.","Khaosan Road, in Bangkok.",,image/jpeg,1200,1600,True,True,True,"The Amazing Race Asia 3 adalah sebuah acara realitas permainan yang beradasar serial TV A.S. The Amazing Race. Musim ketiga dari acara ini menghadirkan sepuluh tim yang terdiri atas dua orang, memiliki hubungan sebelumnya, dalam perlombaan keliling dunia untuk memperebutkan US$100,000.
Musim ini tayang perdana pada tanggal 11 September 2008 yang terdiri dari 11 episode, dua episode lebih sedikit dari musim pertama dan musim kedua dan berakhir pada tanggal 14 Februari 2008.
Pada tahun 2009, seri dinominasikan untuk International Emmy Award sebagai Best Non-Scripted Entertainment, kalah dari seri realitas Belanda, The Phone.
Teman Hong Kong Vince Chung & Sam Wu adalah pemenang lomba, mereka adalah tim pertama dengan non-Asia di Versi Asia untuk memenangkan perlombaan."
9,war,https://war.wikipedia.org/wiki/Sipalay,http://upload.wikimedia.org/wikipedia/commons/c/c3/Ph_locator_negros_occidental_sipalay.png,Sipalay,,Sipalay,,English: Map of Negros Occidental showing the location of Sipalay,Mapa han Negros Occidental nga nagpapakita kon hain nahamutangan an Syudad han Sipalay,image/png,350,300,True,True,True,"An Syudad han Sipalay usa nga ika-lima nga klase nga syudad ha lalawigan o probinsya han Negros Occidental ha Katundan nga Kabisay-an nga rehiyon han Kabisay-an ha Pilipinas. Sumala han census han tuig 2000, mayda ini populasyon nga 62,063 nga tawo ha 11,955 nga panimalay."
