,language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description
0,fil,https://tl.wikipedia.org/wiki/DZRB-AM,https://upload.wikimedia.org/wikipedia/commons/3/3c/RadyoPilipinas1-logo.png,DZRB-AM,,DZRB-AM,,English: Logo of Radyo Pilipinas 1.,,image/png,154,296,True,True,True,"Ang DZRB Radyo Pilipinas 1 ay isang himpilang pangradyo sa na pinamamalakad at pagmamay-ari ng Philippine Broadcasting Service sa ilalim ng Presidential Communications Group sa Pilipinas. Ang kanilang studio ay matatagpuan sa 4/F, PIA/Media Center Building, Visayas Avenue, Brgy. Vasra, Diliman, Lungsod Quezon. at ang transmitter ay matatagpuan sa Brgy Marulas, Valenzuela City. DZRB ay unang himpilan ng radyo sa Pilipinas bago mag naglunsad ng DZRH."
1,vi,https://vi.wikipedia.org/wiki/H%E1%BB%93_Ng%E1%BB%8Dc_H%C3%A0,http://upload.wikimedia.org/wikipedia/commons/c/c4/Hongocha.jpg,Hồ Ngọc Hà,"2007-2009: Khi ta yêu nhau, The First Single và tour lưu diễn Và em đã yêu","Hồ Ngọc Hà / Sự nghiệp / 2007-2009: Khi ta yêu nhau, The First Single và tour lưu diễn Và em đã yêu",Hồ Ngọc Hà trình diễn năm 2008.,Tiếng Việt: Chân dung ca sĩ Hồ Ngọc Hà,,image/jpeg,362,265,True,True,True,"Hồ Ngọc Hà, tên khai sinh là Hồ Thị Ngọc Hà là một nữ ca sĩ, diễn viên, người mẫu thời trang người Việt Nam. Hồ Ngọc Hà bắt đầu sự nghiệp người mẫu từ năm 15 tuổi với chiều cao ấn tượng 1m72 và đạt nhiều giải thưởng. Cô chuyển sang ca hát bằng việc ra mắt album đầu tay 24 giờ 7 ngày năm 2004. Album giúp cô có cơ hội tham gia Asia Song Festival tại Hàn Quốc. Sau khi trở thành đại sứ của Sunsilk, cô và nhãn hàng này đã cùng nhau hợp tác để sản xuất album và thực hiện các tour lưu diễn quảng bá. Album tiếp theo của Hồ Ngọc Hà mang tên Tìm lại giấc mơ được phát hành năm 2010 kèm theo nhiều dự án nhỏ phát hành vào năm 2011. Cuối năm 2011, cô phát hành album thứ sáu của mình mang tên Invincible cùng với đĩa đơn chủ đề cùng tên.
Hồ Ngọc Hà đã giành được 2 giải Cống Hiến trong tổng số 12 đề cử, đứng thứ 4 trong danh sách những người được đề cử nhiều nhất cùng vô số giải thưởng khác như Mai Vàng, HTV Award, Làn Sóng Xanh, Album Vàng, Yan Vpop 20, ... Ngày 14 tháng 4 năm 2012, tại giải thưởng HTV Award, Hồ Ngọc Hà đã giành giải Nữ ca sĩ được yêu thích nhất với 14.216 phiếu bầu chọn."
2,vi,https://vi.wikipedia.org/wiki/Malabang,http://upload.wikimedia.org/wikipedia/commons/e/e0/Ph_locator_lanao_del_sur_malabang.png,Malabang,,Malabang,Bản đồ Lanao del Sur với vị trí của Malabang,English: Map of the Lanao del Sur showing the location of Malabang,,image/png,250,300,True,True,True,"Malabang là một đô thị hạng 4 ở tỉnh Lanao del Sur, Philippines. Theo điều tra dân số năm 2000 của Philipin, đô thị này có dân số 33.177 người trong 4.883 hộ."
3,vi,https://vi.wikipedia.org/wiki/Pornpawee_Neerasingh,https://upload.wikimedia.org/wikipedia/commons/a/a9/Pornpawee_Neerasingh_2.png,Pornpawee Neerasingh,,Pornpawee Neerasingh,,"English: Pornpawee Neerasingh, Thai actress and singer",,image/png,630,481,True,True,True,"Pornpawee Neerasingh hay còn được biết đến với nghệ danh Faye, một thành viên của nhóm nhạc nữ hàng đầu Thái Lan - FFK của Kamikaze Music. Trong công ty, Faye được biết đến là em gái của Fang Dhanundhorn Neerasingh - thành viên khác của FFK. Faye sinh ngày 29 tháng 12 năm 1992, theo học tại trường Wattana Wittaya từ bậc Tiểu học đến bậc Trung học phổ thông trước khi theo học tại trường đại học Chulalongkorn. Hiện giờ cô đã tốt nghiệp khoa Khoa học Kinh tế tại trường này.Cô bắt đầu ra mắt cùng với FFK và Kamikaze vào ngày 29 tháng 3 năm 2007, album đầu tay của nhóm mang tên Faye Fang Kaew. Hai năm sau, cô tham gia vào một dự án đặc biệt của công ty - Seven Days Project, sau khi hoàn thành dự án Faye trở lại hoạt động với FFK.
Faye tham gia bộ phim truyền hình đầu tiên với vai trò khách mời. Cô đảm nhận vai Fah trong bộ phim Happiness Maker Company tập 21. Tập phim được phát sóng ngày 16 tháng 10 năm 2010 trên kênh Modern9TV."
4,ceb,https://ceb.wikipedia.org/wiki/Stachyris_nigricollis,https://upload.wikimedia.org/wikipedia/commons/3/37/Stachyris_nigricollis_1838.jpg,Stachyris nigricollis,,Stachyris nigricollis,,English&#x3a;&#32; «&#160;Timalia nigricollis&#160;» = Stachyris nigricollis (Black-throated Babbler)Français&#x202f;&#x3a;&#32; «&#160;Timalia nigricollis&#160;» = Stachyris nigricollis (Timalie à gorge noire),,image/jpeg,2613,2668,True,True,True,Espesye sa langgam nga una nga gihulagway ni Temminck ni adtong 1836 ang Stachyris nigricollis. Ang Stachyris nigricollis sakop sa kahenera nga Stachyris sa kabanay nga Sylviidae. Giklaseklase sa IUCN ang espesye sa duolang mibahad. Pagka karon wala pay siak nga nalista ubos niini niya.
5,vi,https://vi.wikipedia.org/wiki/Michelle_Branch,https://upload.wikimedia.org/wikipedia/commons/9/9d/Michelle_Branch_Centennial_Concert.jpg,Michelle Branch,,Michelle Branch,Michelle Branch in January 2010.,English: Michelle Branch Centennial Concert 2010-01-10,,image/jpeg,2000,1330,True,True,True,"Michelle Jacquet DeSevren Branch Landau hay Michelle Branch sinh ngày 2 tháng 7 năm 1983, là một ca nhạc sĩ, diễn viên người Mỹ từng nhận được giải Grammy cho hạng mục hợp tác pop xuất sắc nhất cùng với tay guitar Carlos Santana trong album Hotel Paper năm 2003. Từ năm 2000 tới năm 2003 cô cho ra 3 album, trong đó 2 album The Spirit Room và Hotel Paper đạt được khá nhiều thành công. Cùng với album Hotel Paper cô còn nhận được 1 đề cử hạng mục giọng ca mới xuất sắc nhất. Năm 2005 cô cùng Jessica Harp thành lập band nhạc đồng quê The Wreckers, và cho ra 1 album, trong đó có đĩa đơn Leave the Pieces nhận được 1 đề cử cho hạng mục trình diễn song ca nhạc đồng quê xuất sắc nhất. Năm 2007 The Wreckers tan rã, Michelle Branch tiếp tục theo đuổi sự nghiệp của mình. Tới năm 2010, cô trở lại với EPs Everything Comes and Goes."
6,vi,https://vi.wikipedia.org/wiki/Batu_Maung,https://upload.wikimedia.org/wikipedia/commons/7/72/Second_Penang_Bridge_at_Batu_Maung%2C_Penang.jpg,Batu Maung,,Batu Maung,,"English: The Penang Island terminus of the Second Penang Bridge at Batu Maung, as seen at night.",,image/jpeg,600,950,True,True,True,"Batu Maung là một khu dân cư trong thành phố George Town ở bang Penang, Malaysia. Batu Maung thuộc khu vực phía tây nam đảo Penang, gần phía đông nam của đảo Penang, và tiếp giáp với thị trấn Bayan Lepas và sân bay quốc tế Penang. Batu Maung là điểm dừng của cầu Penang thứ hai, đồng thời về phía nam là kết thúc của đường cao tốc Tun Dr Lim Chong Eu. Nơi đây được bao quanh bởi các làng chài, ví dụ như Permatang Damar Laut và Teluk Tempoyak.
Vào cuối thế kỷ 20, Batu Maung phát triển từ khu vực nông nghiệp lên khu dân cư bắt đầu. Trong thị trấn có sự tồn tại của một phần Khu công nghiệp tự do Bayan Lepas, trụ sở của Trung tâm thủy sản thế giới- WorldFish Center và một cảng cá nước sâu."
7,vi,https://vi.wikipedia.org/wiki/Malaysia,https://upload.wikimedia.org/wikipedia/commons/a/ad/LA2-NSRW-1-0148_malaysia.jpg,Malaysia,Từ nguyên,Malaysia / Từ nguyên,"""Malaysia"" được sử dụng làm nhãn cho Quần đảo Mã Lai trên bản đồ năm 1914 từ tập bản đồ Hoa Kỳ","Map of Malaysia, circa 1914","Bản đồ tiếng Anh của Đông Nam Á, kiểu chữ ""MALAYSIA"" theo chiều ngang để các chữ cái chạy qua góc cực bắc của Borneo và đi qua phía nam Philippines.",image/jpeg,131,251,True,True,True,"Malaysia là một quốc gia quân chủ lập hiến liên bang nằm tại phía nam của khu vực Đông Nam Á. Quốc gia này bao gồm 13 bang và ba lãnh thổ liên bang với tổng diện tích đất liền là 330,803 km². Malaysia bị tách làm hai phần qua biển Đông: Malaysia bán đảo và Borneo thuộc Malaysia. Malaysia có biên giới trên bộ với Thái Lan, Indonesia, và Brunei, trong khi có biên giới trên biển với Singapore, Việt Nam, và Philippines. Thành phố thủ đô là Kuala Lumpur, song nơi đặt trụ sở của chính phủ liên bang là Putrajaya. Năm 2010, dân số Malaysia được ước tính là 28,33 triệu người, trong đó 22,6 triệu sinh sống tại phần Bán đảo. Malaysia có điểm cực nam của đại lục Á-Âu là Tanjung Piai. Malaysia là một quốc gia nhiệt đới và là một trong 17 quốc gia đa dạng sinh học nhất trên thế giới, với nhiều loài đặc hữu.
Malaysia có nguồn gốc từ các vương quốc Mã Lai hiện diện trong khu vực và từ thế kỷ XVIII, các vương quốc này bắt đầu lệ thuộc vào Đế quốc Anh. Các lãnh thổ đầu tiên của Anh Quốc được gọi là Các khu định cư Eo biển. Các lãnh thổ tại Malaysia bán đảo được hợp nhất thành Liên hiệp Malaya vào năm 1946."
8,id,https://id.wikipedia.org/wiki/Bhayangkara_FC,https://upload.wikimedia.org/wikipedia/commons/d/d7/Surabaya_United.png,Bhayangkara FC,Perubahan nama dan logo,Bhayangkara FC / Perubahan nama dan logo,,Bahasa Indonesia: Surabaya United oleh&#160;: Debay Rahiant,,image/png,148,134,True,True,True,"Bhayangkara Football Club adalah sebuah tim sepak bola Indonesia yang dimiliki oleh Polri yang berbasis di Jakarta. Klub ini bermain di Liga 1. Klub ini juga memegang rekor sebagai klub dengan pergantian nama terbanyak di Indonesia, semuanya karena dualisme yang pernah terjadi antara klub ini dengan klub Persebaya Surabaya pada rentang waktu 2010 sampai 2016."
9,vi,https://vi.wikipedia.org/wiki/An_Giang,https://upload.wikimedia.org/wikipedia/commons/0/02/AnPhu_PhuHuu_road.jpg,An Giang,Hình ảnh,An Giang / Hình ảnh,,Tiếng Việt: Một con đường nông thôn ở xã Phú Hữu huyện An Phú.,,image/jpeg,480,640,True,True,True,"An Giang là một tỉnh thuộc vùng đồng bằng sông Cửu Long, Việt Nam.
An Giang là tỉnh có dân số đông nhất đồng bằng sông Cửu Long, thuộc miền Nam Việt Nam. Một phần của An Giang nằm trong tứ giác Long Xuyên.
Tỉnh có phía tây bắc giáp Campuchia, phía tây nam giáp tỉnh Kiên Giang, phía nam giáp thành phố Cần Thơ, phía đông giáp tỉnh Đồng Tháp, cách thành phố Hồ Chí Minh 231 km.
Tỉnh An Giang có tổng diện tích tự nhiên 3536,6685 km2, trong đó diện tích đất sản xuất nông nghiệp 280.658 ha, đất lâm nghiệp 14.724 ha."
