,language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description
0,id,https://id.wikipedia.org/wiki/Keraton_Ngayogyakarta_Hadiningrat,https://upload.wikimedia.org/wikipedia/commons/6/64/Jogja.kraton2.jpg,Keraton Ngayogyakarta Hadiningrat,Tata ruang,Keraton Ngayogyakarta Hadiningrat / Tata ruang dan arsitek / Tata ruang,Koridor di Kedhaton dengan latar belakang Gedhong Jene dan Gedhong Purworetno,"Inner court at the kraton of Yogyakarta, Indonesia",,image/jpeg,1300,2252,True,True,True,"Keraton Ngayogyakarta Hadiningrat atau Keraton Yogyakarta merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia. Walaupun kesultanan tersebut secara resmi telah menjadi bagian Republik Indonesia pada tahun 1950, kompleks bangunan keraton ini masih berfungsi sebagai tempat tinggal sultan dan rumah tangga istananya yang masih menjalankan tradisi kesultanan hingga saat ini. Keraton ini kini juga merupakan salah satu objek wisata di Kota Yogyakarta. Sebagian kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan, termasuk berbagai pemberian dari raja-raja Eropa, replika pusaka keraton, dan gamelan. Dari segi bangunannya, keraton ini merupakan salah satu contoh arsitektur istana Jawa yang terbaik, memiliki balairung-balairung mewah dan lapangan serta paviliun yang luas."
1,jv,https://jv.wikipedia.org/wiki/Angkot,https://upload.wikimedia.org/wikipedia/commons/e/e9/Angkot_Bandung_Sadang_Serang-Caringin.jpg,Angkot,,Angkot,Angkot nang kutha Bandung,"English: Angkot (public minivan) in Bandung, on the route Sadang Serang - Terminal Caringin. Photo taken near ITB campus.",,image/jpeg,3000,4000,True,True,True,"Angkot utawa Angkutan kota ya iku tetumpakan penumpang nganggo mobil minibus sing duwé rute saubenging kutha. Beda karo bis sing liwat nang pinggiran kutha lan dalan gedhe, angkot duwé rute liwat nang njero kutha lan dalan-dalan cilik nang tengah kutha."
2,id,https://id.wikipedia.org/wiki/Museum_Nasional_Indonesia,https://upload.wikimedia.org/wikipedia/commons/3/39/Museum_Nasional_Courtyard.jpg,Museum Nasional Indonesia,Bangunan Museum Nasional,Museum Nasional Indonesia / Bangunan Museum Nasional,,"English: The peristylia (inner courtyard) of the National Museum of Indonesia, Jakarta, display statues of ancient Indonesian Hindu-Buddhist era.",,image/jpeg,2136,3264,True,True,True,"Museum Nasional Republik Indonesia atau Museum Gajah, adalah sebuah museum arkeologi, sejarah, etnografi, dan geografi yang terletak di Jakarta Pusat dan persisnya di Jalan Merdeka Barat 12. Museum ini merupakan museum pertama dan terbesar di Asia Tenggara."
3,vi,https://vi.wikipedia.org/wiki/Albert_Malcolm_Ranjith_Patabendige_Don,https://upload.wikimedia.org/wikipedia/commons/0/0f/Cardinal_Ranjith.jpg,Albert Malcolm Ranjith Patabendige Don,,Albert Malcolm Ranjith Patabendige Don,,English: Malcolm Cardinal Ranjith,,image/jpeg,638,425,True,True,True,"Albert Malcolm Ranjith Patabendige Don là một Hồng y người Sri Lanka của Giáo hội Công giáo Rôma. Ông hiện đảm nhận vị trí Tổng giám mục Tổng giáo phận Colombo và Hồng y đẳng Linh mục Nhà thờ San Lorenzo in Lucian. Trước đây, ông từng đảm nhận nhiều vị trí quan trọng ở quê nhà cũng như ở Giáo triều, như chức vị Chủ tịch Hội đồng Giám mục Sri Lanka và Sứ thần Tòa Thánh tại Indonesia và Đông Timo."
4,vi,https://vi.wikipedia.org/wiki/Ph%E1%BA%A1m_V%C4%83n_%C4%90%E1%BB%93ng,https://upload.wikimedia.org/wikipedia/commons/8/85/Ph%E1%BA%A1m_V%C4%83n_%C4%90%E1%BB%93ng_1972.jpg,Phạm Văn Đồng,,Phạm Văn Đồng,,Phạm Văn Đồng,,image/jpeg,1748,1258,True,True,True,"Phạm Văn Đồng là Thủ tướng đầu tiên của nước Cộng hòa Xã hội chủ nghĩa Việt Nam từ năm 1976 cho đến khi nghỉ hưu năm 1987. Trước đó ông từng giữ chức vụ Thủ tướng Chính phủ Việt Nam Dân chủ Cộng hòa từ năm 1955 đến năm 1976.
Phạm Văn Đồng là vị Thủ tướng Việt Nam tại vị lâu nhất và là học trò, cộng sự thân thiết của Chủ tịch Hồ Chí Minh. Ông có tên gọi thân mật là Tô, đây từng là bí danh của ông. Ông còn có tên gọi là Lâm Bá Kiệt khi làm Phó chủ nhiệm cơ quan Biện sự xứ tại Quế Lâm."
5,my,https://my.wikipedia.org/wiki/%E1%80%95%E1%80%AF%E1%80%82%E1%80%B6,https://upload.wikimedia.org/wikipedia/commons/8/89/Bagan%2C_Burma.jpg,ပုဂံ,,ပုဂံ,ပုဂံရှိစေတီပုထိုးများ,"Bagan, Burma",ပုဂံရှိစေတီပုထိုးများ,image/jpeg,931,1424,True,True,True,ပုဂံ တမ္ပဒီပ သည် မြန်မာနိုင်ငံ၏ ပထမဆုံးဧကရာဇ်နိုင်ငံ တည်ထောင်ရာ မြို့တော်ဟူ၍ မြန်မာတို့အတွက် အမျိုးသားရေး လက္ခဏာတစ်ရပ်အနေဖြင့်လည်းကောင်း၊ များပြားလှသည့် ရှေးဟောင်းလက်ရာ စေတီပုထိုးများကြောင့်၎င်း၊ ကမ္ဘာလှည့်ခရီးသည်တို့ကို ဆွဲဆောင်ရာနေရာအဖြစ်လည်းကောင်း ကမ္ဘာကျော်သည့် နေရာတစ်နေရာ ဖြစ်သည်။ ၂၀၁၉ ခုနှစ်၊ ဇူလိုင်လ ၆ ရက်နေ့တွင် ပုဂံရှေးဟောင်းယဉ်ကျေးမှုဒေသတစ်ခုလုံးကို ယူနက်စကို ကမ္ဘာ့အမွေအနှစ်နေရာအဖြစ် သတ်မှတ်ခဲ့သည်။
6,vi,https://vi.wikipedia.org/wiki/Ph%C3%BA_Qu%E1%BB%91c,http://upload.wikimedia.org/wikipedia/commons/4/4b/Phu_quoc_hotel_2.jpg,Phú Quốc,Hình ảnh Phú Quốc,Phú Quốc / Hình ảnh Phú Quốc,,Français&#160;: Un hotel à Phu Quoc,,image/jpeg,935,1279,True,True,True,"Phú Quốc còn được mệnh danh là Đảo Ngọc, là hòn đảo lớn nhất của Việt Nam, cũng là đảo lớn nhất trong quần thể 22 đảo tại đây, nằm trong vịnh Thái Lan. Đảo Phú Quốc cùng với các đảo khác tạo thành huyện đảo Phú Quốc trực thuộc tỉnh Kiên Giang. Toàn bộ huyện đảo có tổng diện tích 589,23 km², xấp xỉ diện tích đảo quốc Singapore thập niên 1960 khi chưa san lấp lấn biển. Thị trấn Dương Đông, tọa lạc ở phía tây, là huyện lỵ của huyện đảo. Phú Quốc nằm cách thành phố Rạch Giá 120 km và cách thành phố Hà Tiên 45 km. Năm 2006, Khu dự trữ sinh quyển ven biển và biển đảo Kiên Giang bao gồm cả huyện này được UNESCO công nhận là khu dự trữ sinh quyển thế giới."
7,id,https://id.wikipedia.org/wiki/Kota_Surabaya,https://upload.wikimedia.org/wikipedia/commons/e/eb/Juanda_Airport_Apron.jpg,Kota Surabaya,Udara,Kota Surabaya / Transportasi / Udara,Bandara Internasional Juanda merupakan salah satu bandara terbesar dan tersibuk di Indonesia.,"English: The apron of Juanda International Airport, Surabaya, Indonesia. Showing Saudi Arabian Airlines Boeing 747 refueling and reloading food, beverage, and cargo. Saudi Airlines particularly serving Indonesian Hajj pilgrims to Mecca.",,image/jpeg,1197,2048,True,True,True,"Kota Surabaya adalah ibu kota Provinsi Jawa Timur, Indonesia, sekaligus kota metropolitan terbesar di provinsi tersebut. Surabaya juga merupakan kota terbesar kedua di Indonesia setelah Jakarta. Kota ini terletak 800 km sebelah timur Jakarta, atau 435 km sebelah barat laut Denpasar, Bali. Surabaya terletak di pantai utara Pulau Jawa bagian timur dan berhadapan dengan Selat Madura serta Laut Jawa.
Surabaya memiliki luas sekitar ±326,81 km², dan 3.158.943 jiwa penduduk pada tahun 2019. Daerah metropolitan Surabaya yaitu Gerbangkertosusila yang berpenduduk sekitar 10 juta jiwa, adalah kawasan metropolitan terbesar kedua di Indonesia setelah Jabodetabek. Surabaya dan wilayah Gerbangkertosusila dilayani oleh sebuah bandar udara, yakni Bandar Udara Internasional Juanda yang berada 20 km di sebelah selatan kota, serta dua pelabuhan, yakni Pelabuhan Tanjung Perak dan Pelabuhan Ujung.
Surabaya terkenal dengan sebutan Kota Pahlawan karena sejarahnya yang sangat diperhitungkan dalam perjuangan Arek-Arek Suroboyo dalam mempertahankan kemerdekaan bangsa Indonesia dari serangan penjajah."
8,id,https://id.wikipedia.org/wiki/Wempi_Wetipo,https://upload.wikimedia.org/wikipedia/commons/d/d5/John_Wempi_Wetipo_portrait.jpg,Wempi Wetipo,,Wempi Wetipo,,"English: John Wempi Wetipo, two-term regent of Jayawijaya (2008-2018)",,image/jpeg,354,236,True,True,True,"John Wempi Wetipo, S.H., M.H. adalah Wakil Menteri Pekerjaan Umum dan Perumahan Rakyat Indonesia yang dilantik Presiden Joko Widodo pada tanggal 25 Oktober 2019, dan sebelumnya pernah menjabat Bupati Jayawijaya dua periode yakni 2008-2013 dan 2013–2018. Dia ikut serta dalam Pemilihan umum Gubernur Papua 2018 melawan petahana Lukas Enembe."
9,ceb,https://ceb.wikipedia.org/wiki/Lutra_sumatrana,https://upload.wikimedia.org/wikipedia/commons/5/55/Loutre_des_pyrenees_ossau_2002.jpg,Lutra sumatrana,,Lutra sumatrana,,"Lutra lutra English: Otter. Italiano: Lontra europea. Ossau - Pirenei Svenska: Utter. Pyrénées, Ossau Română: nutrie în munții Pirinei, Ossau",,image/jpeg,349,524,True,True,True,Espesye sa mamipero nga una nga gihulagway ni Gray ni adtong 1865 ang Lutra sumatrana. Ang Lutra sumatrana sakop sa kahenera nga Lutra sa kabanay nga Mustelidae. Giklaseklase sa IUCN ang espesye sa nagtikapuo. Pagka karon wala pay siak nga nalista ubos niini niya.
