,language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description
0,id,https://id.wikipedia.org/wiki/Haji,https://upload.wikimedia.org/wikipedia/commons/6/6a/Mina_Overview.JPG,Haji,,Haji,,"Photo from mountainside of the tented areas covering the Plain of Mina, Saudi Arabia",,image/jpeg,1536,2048,True,True,True,"Haji adalah ziarah Islam tahunan ke Mekkah, kota suci umat Islam, dan kewajiban wajib bagi umat Islam yang harus dilakukan setidaknya sekali seumur hidup mereka oleh semua orang Muslim dewasa yang secara fisik dan finansial mampu melakukan perjalanan, dan dapat mendukung keluarga mereka selama ketidakhadiran mereka. Ini adalah satu dari lima Rukun Islam, di samping Syahadat, Salat, Zakat, dan Sawm. Haji adalah pertemuan tahunan terbesar orang-orang di dunia. Keadaan yang secara fisik dan finansial mampu melakukan ibadah haji disebut istita'ah, dan seorang Muslim yang memenuhi syarat ini disebut mustati. Haji adalah demonstrasi solidaritas orang-orang Muslim, dan ketundukan mereka kepada Tuhan. Kata Haji berarti ""berniat melakukan perjalanan"", yang berkonotasi baik tindakan luar dari perjalanan dan tindakan ke dalam niat.
Ziarah terjadi dari tanggal 8 sampai 12 dari Zulhijjah, bulan terakhir kalender Islam. Karena kalender Islam adalah bulan dan tahun Islam kira-kira sebelas hari lebih pendek daripada kalender Gregorian, tanggal haji Gregorian berubah dari tahun ke tahun."
1,id,https://id.wikipedia.org/wiki/World_Trade_Center_Jakarta,https://upload.wikimedia.org/wikipedia/commons/c/c3/World_Trade_Centre_Jakarta.jpg,World Trade Center Jakarta,,World Trade Center Jakarta,,Overall view of World Trade Centre Jakarta. Kawasan World Trade Centre Jakarta Original Panoramio photo,,image/jpeg,2262,3070,True,True,True,"World Trade Centre Jakarta adalah sebuah kompleks perkantoran komersial yang terletak di Jalan Jenderal Sudirman, Jakarta. Gedung yang berada di kompleks ini diberi nama WTC 1, WTC 2, WTC 3, WTC 5, dan WTC 6. Luas kompleks ini adalah sekitar 8 hektar. Konstruksi WTC 5 dan WTC 6 selesai pada tahun 1985, dan pada saat itu masih menggunakan nama Metropolitan I dan Metropolitan II. Keduanya memiliki tinggi 65 meter dengan 17 lantai di atas tanah. Konstruksi WTC 1 juga selesai pada tahun 1985, dengan tinggi 90 meter dan 20 lantai di atas tanah, sementara konstruksi WTC 2 selesai pada tahun 2002, dengan tinggi 160 meter dan 30 lantai di atas tanah.
WTC 3 adalah bangunan tertinggi di kompleks ini dengan tinggi 209,1 meter dan 44 lantai di atas tanah serta 5 lantai di bawah tanah."
2,vi,https://vi.wikipedia.org/wiki/Bu%C3%B4n_Ma_Thu%E1%BB%99t,https://upload.wikimedia.org/wikipedia/commons/5/54/Kh%C3%B4ng_%E1%BA%A3nh_ch%E1%BB%A3_Bu%C3%B4n_Ma_Thu%E1%BB%99t_n%C4%83m_2016.jpg,Buôn Ma Thuột,Kinh tế - xã hội,Buôn Ma Thuột / Kinh tế - xã hội,Chợ Buôn Ma Thuột năm 2016,Tiếng Việt: Không ảnh chụp về chợ Buôn Ma Thuột năm 2016,,image/jpeg,491,960,True,True,True,"Buôn Ma Thuột là thành phố tỉnh lỵ của tỉnh Đắk Lắk, Việt Nam.
Đây là thành phố lớn nhất ở vùng Tây Nguyên và là đô thị miền núi có dân số lớn nhất Việt Nam."
3,id,https://id.wikipedia.org/wiki/Phra_Phrom,https://upload.wikimedia.org/wikipedia/commons/d/de/Ch-brahma-temple.jpg,Phra Phrom,Taiwan,Phra Phrom / Tempat pemujaan / Taiwan,"Kuil Simianshen (四面神) di Changhua, Taiwan.",中文（繁體）‎: 彰化四面佛寺-四面佛金身,,image/jpeg,425,637,True,True,True,"Phra Phrom adalah representasi dewa Brahma dalam Hinduisme di Thailand. Budaya Thailand memujanya sebagai dewa keberuntungan dan perlindungan.
Di luar Thailand, Phra Phrom dikenal dengan nama Si Mian Fo, terutama oleh masyarakat China yang tinggal di Hong Kong, Macau, dan Taiwan. Di sana, pemujaan Phra Phrom sangat populer. Phra Phrom juga dikenal dengan nama Brahma Catur Muka atau She Mien Fo."
4,fil,https://tl.wikipedia.org/wiki/Bagoong,https://upload.wikimedia.org/wikipedia/commons/5/55/Bornayjars.jpg,Bagoong,,Bagoong,Mga tradisyonal na burnay na nilalaman ng pinakasim na bagoong sa Ilocos Norte,"English: Bagoong fermenting in burnay jars in the province of Ilocos Norte, Philippines.",,image/jpeg,533,800,True,True,True,"Ang bagoong ay isang pagkaing Pilipino na gawa mula sa binurong maliliit na hipon, sugpo o isda. Karaniwan itong ginagamit na sawsawan para sa kare-kare at mangga. Mabibili itong nakadelata o nakabote.
Ang binagoong na isda na galing sa mga kapuluan ng Bisayas ay tinatawag na ginamos."
5,id,https://id.wikipedia.org/wiki/Malaysia_Airlines,https://upload.wikimedia.org/wikipedia/commons/e/ec/Airbus_A380-841%2C_Malaysia_Airlines_AN2208844.jpg,Malaysia Airlines,Armada,Malaysia Airlines / Armada,Sebuah pesawat Airbus A380 Malaysia Airlines.,,,image/jpeg,960,1280,True,True,True,Malaysia Airlines adalah maskapai penerbangan nasional Malaysia yang melayani berbagai rute domestik dan internasional dari pusat operasinya di Kuala Lumpur International Airport.
6,ceb,https://ceb.wikipedia.org/wiki/Papilio_demolion,https://upload.wikimedia.org/wikipedia/commons/5/5d/Papilio_demolion.jpg,Papilio demolion,,Papilio demolion,,"Papilio demolion (Banded Swallowtail), with its wings spread on a a wet leaf in Singapore.",,image/jpeg,450,600,True,True,True,Espesye sa alibangbang ang Papilio demolion. Una ning gihulagway ni Cramer ni adtong 1776. Ang Papilio demolion sakop sa kahenera nga Papilio sa kabanay nga Papilionidae. Pagka karon wala pay siak nga nalista ubos niini niya.
7,id,https://id.wikipedia.org/wiki/Nissan_Serena,https://upload.wikimedia.org/wikipedia/commons/f/f5/Nissan_Serena%2C_Denpasar_%28cropped%29.jpg,Nissan Serena,MkI seri C23 (1991–2000),Nissan Serena / MkI seri C23 (1991–2000),,"English: Front view of a first generation ""snail"" Nissan Serena 1.6i FGX in Denpasar, Bali, Indonesia.Bahasa Indonesia: Nissan Serena 1.6i FGX di Denpasar, Bali.",,image/jpeg,1720,2760,True,True,True,"Nissan Serena adalah mobil berjenis van yang diproduksi oleh Nissan Motor Company. Mobil ini diluncurkan pada tahun 1991 dengan menyasar kelas van kompak, tetapi ukurannya bertambah besar seiring perubahan generasi. Generasi awal mobil ini menggunakan penggerak roda belakang dengan suspensi per daun. Generasi berikutnya sudah menggunakan suspensi independen dan menggunakan penggerak roda depan atau 4WD."
8,vi,https://vi.wikipedia.org/wiki/Mops_sarasinorum,https://upload.wikimedia.org/wikipedia/commons/5/5a/Distribution_of_Mops_sarasinorum.png,Mops sarasinorum,,Mops sarasinorum,,English: Geographical distribution of mops sarasinorum according to Museum specimens.,,image/png,1614,1877,True,True,True,"Mops sarasinorum là một loài động vật có vú trong họ Dơi thò đuôi, bộ Dơi. Loài này được A. Meyer mô tả năm 1899."
9,vi,https://vi.wikipedia.org/wiki/Don_Pramudwinai,https://upload.wikimedia.org/wikipedia/commons/3/3c/Secretary_Tillerson_Poses_for_a_Photo_With_Thai_Foreign_Minister_Pramudwinai_Before_Their_Meeting_in_Washington_%2834066533530%29.jpg,Don Pramudwinai,Sự nghiệp,Don Pramudwinai / Sự nghiệp,Ngoại trưởng Mỹ Rex Tillerson đứng chụp ảnh với Ngoại trưởng Thái Lan Pramudwinai trước cuộc họp của họ ở Washington,"U.S. Secretary of State Rex Tillerson poses for a photo with Thai Foreign Minister Don Pramudwinai before their bilateral meeting at the U.S. Department of State in Washington, D.C., on May 4, 2017. [State Department photo/ Public Domain]",,image/jpeg,3346,5020,True,True,True,Don Pramudwinai là một nhà ngoại giao Thái Lan. Ông hiện là Bộ trưởng Bộ Ngoại giao Thái Lan.
