,language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description
0,id,https://id.wikipedia.org/wiki/Ries_Mulder,https://upload.wikimedia.org/wikipedia/commons/b/b9/1958_Ries_Mulder_Kerk_van_Bandung.jpg,Ries Mulder,Periode Indonesia 1948-1958,Ries Mulder / Periode Indonesia 1948-1958,,English: 1958 Kerk van Bandung,,image/jpeg,465,600,True,True,True,"Marinus Mulder adalah seorang pelukis Belanda. Dia mengembangkan suatu gaya kubisme. Karena dia mengajar di Indonesia, dia memiliki pengaruh besar atas seni lukis modern di Indonesia."
1,vi,https://vi.wikipedia.org/wiki/%C4%90%C3%B4ng_Anh,https://upload.wikimedia.org/wikipedia/commons/2/27/Citadelle_de_C%E1%BB%95_Loa.jpg,Đông Anh,,Đông Anh,"Đình Ngự Triều Di Quy
bên trong khu di tích Cổ Loa",English: Ngự Triều Di Quy communal house inside Cổ Loa Citadel Français&#160;: Bâtiment dans la cour de la citadelle de Cổ Loa,,image/jpeg,2304,3456,True,True,True,"Đông Anh là một huyện ngoại thành thuộc thành phố Hà Nội, Việt Nam"
2,war,https://war.wikipedia.org/wiki/Currimao,https://upload.wikimedia.org/wikipedia/commons/5/5a/Ph_locator_ilocos_norte_currimao.png,Currimao,,Currimao,,English: Map of Ilocos Norte showing the location of Currimao,Mapa han Ilocos Norte nga nagpapakita kon hain nahamutang an Currimao,image/png,350,300,True,True,True,"An Currimao usa nga ikalima nga klase nga bungto ha lalawigan han Ilocos Norte ha Pilipinas. Sumala han census han tuig 2000, mayda ini populasyon nga 10,615 ka tawo ha 2,126 nga mga panimalay."
3,vi,https://vi.wikipedia.org/wiki/VinFast_Klara,https://upload.wikimedia.org/wikipedia/commons/8/83/Newone_-_VinFast_lithium-ion_battery_for_Klara_scooter_by_Bosch.jpg,VinFast Klara,,VinFast Klara,Pin Li-ion của Bosch cho xe máy điện VinFast Klara,"Tiếng Việt: Pin 17INR19/65-8, 61.2V 22.0Ah model RBLi6022035CA-OS2 của Bosch sử dụng cho xe máy điện Klara của VinFast",,image/jpeg,4032,3024,True,True,True,"VinFast Klara là nhãn hiệu dòng xe máy chạy bằng năng lượng điện ra mắt ngày 20 tháng 11 năm 2018, sản xuất bởi VinFast, một công ty con của Tập đoàn Vingroup."
4,vi,https://vi.wikipedia.org/wiki/Bulbophyllum_medusae,https://upload.wikimedia.org/wikipedia/commons/d/d5/Bulbophyllum_medusae_%28Lindl.%29_Rchb.f.%2C_W.G.Walpers%2C_Ann._Bot._Syst._6-_262_%281861%29_%2825468702088%29.jpg,Bulbophyllum medusae,Hình ảnh,Bulbophyllum medusae / Hình ảnh,,Bulbophyllum medusae,,image/jpeg,4912,7360,True,True,True,"Bulbophyllum medusae là một loài phong lan. Loài phong lan này được đặt tên theo Gorgon Medusa trong thần thoại Hy Lạp do đài hoa cạnh của nó dài trông giống những con rắn tạo thành tóc của Medusa. Đây là một loài phong lan biểu sinh từ Bán đảo Mã Lai, Thái Lan và Borneo."
5,id,https://id.wikipedia.org/wiki/Paparazi,https://upload.wikimedia.org/wikipedia/commons/7/7a/Paparazzi_by_David_Shankbone.jpg,Paparazi,,Paparazi,Sekelompok jurnalis foto sering dikenal sebagai paparazi,Celebrity Photographers at the Tribeca Film Festival,,image/jpeg,2448,3264,True,True,True,Paparazi adalah istilah dari bahasa Italia yang merujuk pada fotografer lepas yang sering membuntuti orang ternama atau orang terkenal untuk mengambil gambar atau foto dari orang tersebut tanpa disadari. Paparazi cendurung bekerja sendiri tanpa terikat dengan setiap perusahaan atau organisasi media massa. Fotografer paparazi biasanya dianggap sebagai pengacau oleh selebriti.
6,vi,https://vi.wikipedia.org/wiki/Hard_Rock_Cafe,https://upload.wikimedia.org/wikipedia/commons/a/aa/GHH_0023_kl.jpg,Hard Rock Cafe,Nhà hàng,Hard Rock Cafe / Lịch sử / Nhà hàng,"Guitar lớn tại Hard Rock Cafe, Beirut, Lebanon. Địa điểm này đóng cửa vào tháng 9 năm 2013.",English: Hard Rock Cafe in Beirut,,image/jpeg,600,403,True,True,True,"Hard Rock Cafe Inc. là một chuỗi các nhà hàng chủ đề được thành lập vào năm 1971 bởi Isaac Tigrett và Peter Morton ở Luân Đôn. Năm 1979, quán cà phê bắt đầu phủ lên các bức tường của nó bằng những vật kỷ niệm rock and roll, một truyền thống mở rộng cho những quán khác trong chuỗi. Vào năm 2007, Hard Rock Cafe International, Inc. đã được bán cho Seminole Tribe Florida và có trụ sở tại Orlando, Florida cho đến tháng 4 năm 2018 khi các văn phòng công ty được chuyển đến Davie, Florida. Tính đến tháng 7 năm 2018, Hard Rock International có địa điểm tại 74 quốc gia, bao gồm 185 quán cà phê, 25 khách sạn và 12 sòng bạc."
7,id,https://id.wikipedia.org/wiki/Ranu_Pani,https://upload.wikimedia.org/wikipedia/commons/4/40/COLLECTIE_TROPENMUSEUM_Portret_van_Henk_Spies_met_de_familie_S.W.G._Gisius%2C_bewoners_van_de_Smeroe_Hoeve%2C_in_Ranoe_Pani_TMnr_60046873.jpg,Ranu Pani,,Ranu Pani,Keluarga petani Belanda di Ranu Pani (1933),"Nederlands: Foto. Portret van Henk Spies met de familie S.W.G. Gisius, bewoners van de ""Smeroe Hoeve"", in Ranoe Pani",,image/jpeg,470,700,True,True,True,"Ranu Pani adalah objek wisata berupa danau di Desa Ranu Pani, Kecamatan Senduro, Kabupaten Lumajang, Jawa Timur. Ranu Pani adalah bagian dari Taman Nasional Bromo Tengger Semeru. Semula luas Ranu Pani berkisar satu hektare lebih, namun kini diperkirakan tinggal 0,75 hektare akibat laju sedimentasi yang cepat. Penduduk desa Ranu Pani berjumlah sekitar 2.000 orang."
8,id,https://id.wikipedia.org/wiki/Seblak,https://upload.wikimedia.org/wikipedia/commons/a/ac/Seblak_1.jpg,Seblak,,Seblak,Seblak boga bahari Bandung,"English: Seblak seafood, a specialty of Bandung city, West Java, Indonesia. Seblak is a savoury and spicy dish made of wet krupuk (traditional Indonesian crackers) cooked with scrambled egg, vegetables, and other protein sources, either chicken, seafood (prawn, fish and squid), or slices of beef sausages, stir-fried with spicy sauces including garlic, shallot, kecap manis (sweet soy sauce), and sambal chili sauce. Bahasa Indonesia: Seblak seafood, masakan khas kota Bandung, Jawa Barat, Indonesia. Seblak adalah makanan gurih yang kadang pedas, dibuat dari kerupuk basah yang dimasak dengan campuran telur, sayuran, dan sumber protein lain seperti ayam, boga bahari (udang, ikan dan cumi-cumi), atau irisan sosis sapi. Bumbunya antara lain bawang putih, bawang merah, kecap manis, dan sambal.",,image/jpeg,1816,2551,True,True,True,"Seblak adalah makanan Indonesia yang dikenal berasal dari Bandung, Jawa Barat yang bercita rasa gurih dan pedas. Terbuat dari kerupuk basah yang dimasak dengan sayuran dan sumber protein seperti telur, ayam, boga bahari atau olahan daging sapi, dan dimasak dengan kencur. Seblak kini menjadi makanan jajanan jalanan yang digemari berbagai kalangan masyarakat, terutama di Jawa Barat dan Jabodetabek. Seiring berkembangnya tren jajanan tradisional dan kaki lima, seblak tidak hanya disajikan dengan toping biasa di gerobak. Seblak berkembang menjadi makanan yang modern dan berhasil menarik perhatian. Makanan yang bertekstur kenyal ini memiliki rasa yang pedas dan menyegarkan, serta memiliki beberapa variasi, baik rasa maupun bahan tambahan juga kemasan penjualan."
9,vi,https://vi.wikipedia.org/wiki/Cephalopachus_bancanus,https://upload.wikimedia.org/wikipedia/commons/a/a9/Horsfield%27s_Tarsier_area.png,Cephalopachus bancanus,,Cephalopachus bancanus,,English: Horsfield's Tarsier (Tarsius bancanus) range,,image/png,452,644,True,True,True,"Cephalopachus bancanus là một loài động vật có vú trong họ Tarsiidae, bộ Linh trưởng. Loài này được Horsfield mô tả năm 1821."
10,id,https://id.wikipedia.org/wiki/Sheikh_Muszaphar_Shukor,https://upload.wikimedia.org/wikipedia/commons/8/84/Muszaphar_shukor.jpg,Sheikh Muszaphar Shukor,,Sheikh Muszaphar Shukor,,"English: Malaysian spaceflight participant Sheikh Muszaphar Shukor responds to a query from the media during an Expedition 16 pre-flight press conference at the Johnson Space Center. Čeština: Malajsijský kosmonaut Šejch Muszafar Šukor na tiskové konferenci v Johnsonově vesmírném středisku v Houstonu, před jeho kosmickým letem na Mezinárodní vesmírnou stanici v Sojuzu TMA-11 roku 2007",,image/jpeg,3072,2040,True,True,True,"Sheikh Muszaphar Shukor Al Masrie bin Sheikh Mustapha adalah seorang pakar kesehatan Malaysia. Beliau merupakan orang Malaysia pertama yang pergi ke luar angkasa, diumumkan oleh Perdana Menteri Abdullah Badawi pada 25 September 2007.
Ia, bersama Yuri Malenchenko dan Peggy Whitson, telah lepas landas pada 10 Oktober 2007 dengan Soyuz TMA-11 yang diluncurkan menuju Stasiun Luar Angkasa Internasional dalam program kerjasama dengan Rusia dan akan kembali ke Bumi bersama Fyodor Yurchikhin dan Oleg Kotov."
11,my,https://my.wikipedia.org/wiki/WannaCry_ransomware_attack,https://upload.wikimedia.org/wikipedia/commons/2/20/Countries_initially_affected_in_WannaCry_ransomware_attack.svg,WannaCry ransomware attack,ဆိုက်ဘာတိုက်ခိုက်မှု,WannaCry ransomware attack / ဆိုက်ဘာတိုက်ခိုက်မှု,ကနဦး သက်ရောက်ခဲ့သောနိုင်ငံများကို ဖော်ပြထားသော မြေပုံ[၂၈],,,image/svg+xml,566,1104,True,True,True,"WannaCry ransomware attack သည် WannaCry ဟူသည့် WanaCrypt0r 2.0, Wanna Decryptor နာမည်နှင့် ransomware ကွန်ပျူတာ worm တစ်မျိုးဖြစ်ပြီး မိုက်ခရိုဆော့ဖ် ဝင်းဒိုးစ် ကွန်ပျူတာများကို ပစ်မှတ်ထားသော ဆိုက်ဘာတိုက်ခိုက်မှုဖြစ်သည်။ တိုက်ခိုက်သည့်ပုံစံမှာ ကွန်ပျူတာအား encrypt လုပ်ပစ်ကာ ဘစ်ကွိုင် ငွေကြေးဖြင့် ပြန်ရွေးငွေကြေး တောင်းခံခြင်းဖြစ်သည်။ တိုက်ခိုက်မှုသည် မေလ ၁၂၊ ၂၀၁၇ တွင်စတင်ခဲ့ပြီး မမှန်းဆနိုင်သည့် ပမာဏဖြစ်သည်ဟု ဖော်ပြခံရသည်။ နိုင်ငံပေါင်း ၁၅၀ ကျော်နှင့် ကွန်ပျူတာပေါင်း ၂၃၀၀၀ ကျော် ယင်း၏ တိုက်ခိုက်မှု၌ ကူးစက်ခံခဲ့ရသည်။ ထိခိုက်မှု အများဆုံးခံရသည့်နိုင်ငံများမှာ ရုရှားနိုင်ငံ၊ ယူကရိန်းနိုင်ငံ၊ အိန္ဒိယနိုင်ငံနှင့် ထိုင်ဝမ်တို့ ဖြစ်ကြသည်။ သို့သော် ဗြိတိန်၏ အမျိုးသား ကျန်းမာရေး ဝန်ဆောင်မှုအချို့၊ စပိန်၏ လေကြောင်းလိုင်းအချို့နှင့် တစ်ကမ္ဘာလုံးတွင်လည်း ပစ်မှတ်ထားခံခဲ့ရသည်။
ဆိုက်ဘာတိုက်ခိုက်မှု စတင်ဖြစ်ပွားသည့်ရက်သည် မေလ ၁၂ ရက်၊ ၂၀၁၇ ခုနှစ် သောကြာနေ့ ဖြစ်သည်။ နိုင်ငံပေါင်း ၁၅၀ ကျော်ရှိ ကွန်ပျူတာအလုံးပေါင်း ၂၃၀, ၀၀၀ ကျော်ကို သက်ရောက်ခဲ့သည်။ အဆိုးရွားဆုံးအတိုက်ခိုက်ခံရသည့် နိုင်ငံများတွင် ရုရှ၊ ယူကရိန်း၊ အိန္ဒိယ နှင့် ထိုင်ဝမ်နိုင်ငံတို့ ပါဝင်ခဲ့သည်။ ဗြိတိန်အမျိုးသားကျန်းမာရေးဝန်ဆောင်မှု ၏ အစိတ်အပိုင်းများ၊"
