,language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description
0,vi,https://vi.wikipedia.org/wiki/Nam_%C4%90%E1%BB%8Bnh,https://upload.wikimedia.org/wikipedia/commons/7/7c/Qu%E1%BB%91c_l%E1%BB%99_21B%2C_%C4%91o%E1%BA%A1n_Ph%E1%BB%A7_L%C3%BD_%C4%91i_Nam_%C4%90%E1%BB%8Bnh.JPG,Nam Định,Hình ảnh,Nam Định / Hình ảnh,,"Tiếng Việt: Quốc lộ 21B, đoạn Phủ Lý đi Nam Định. English: The section of Highway 21B from Phủ Lý to Nam Định, Vietnam.",,image/jpeg,768,1024,True,True,True,"Nam Định là một tỉnh nằm ở phía Nam đồng bằng Bắc Bộ. Theo quy hoạch năm 2008, Nam Định thuộc vùng duyên hải Bắc Bộ. Tỉnh lỵ là Thành phố Nam Định.
Năm 2018, Nam Định là đơn vị hành chính Việt Nam đông thứ 10 về số dân, xếp thứ 15 về Tổng sản phẩm trên địa bàn, xếp thứ 25 về GRDP bình quân đầu người, đứng thứ 28 về tốc độ tăng trưởng GRDP. Với 1.780.393 người dân, GRDP đạt 96.429 tỉ Đồng, GRDP bình quân đầu người đạt 52 triệu đồng, tốc độ tăng trưởng GRDP đạt 8,10%."
1,war,https://war.wikipedia.org/wiki/Kedah,https://upload.wikimedia.org/wikipedia/commons/c/ce/Kedah_state_locator.PNG,Kedah,,Kedah,Mapa han Malaysia nga nagpapakita kon hain nahamutang an Kedah,"Map of Malaysia, with Kedah highlighted in red.",,image/png,1025,3000,True,True,True,"An Kedah usa nga estado o negeri han Malaysia, nga nahamutang ha kanawayan nga dapit han Peninsular nga Malaysia. Naglalakip an estado hin bug-os nga kahaluag nga 9,425 ka km², nan an kadam-an hini mga kapatagan nga gintatanom in humay, pati an isla han Langkawi. Gintawag ini nga Syburi han Siames han ilarom pa ini han ira impluwensya.
Ha amihanan amo an estado han Perlis ngan an panlangyaw nga pag-ultan upod han Songkhla ngan Yala nga mga lalawigan han Thailand, ha salatan amo an Perak ngan ha habagatan an Penang.
An kapital ngan lingkoranan han hadi han negeri amo an Alor Setar. An iba pa nga mga importante nga mga bungto amo an Sungai Petani, ngan Kulim ha mailand, ngan Kuah ha Pulau Langkawi. An Kedah ginbahin ngadto hin napulo kag duha nga mga distrito:- Baling, Bandar Baharu, Kota Setar, Pokok Sena, Kuala Muda, Kubang Pasu, Kulim, Pulau Langkawi, Padang Terap, Pendang, Sik, nganYan.
An Arabo nga pahidungog nga ngaran para han Kedah amo an Darul Aman nga amo gihapon an kahulugan han ngaran ha pahidungog han Brunei nga Darussalam.
An populasyon han estado ha etniko nga grupo han 2003 gin-estimar nga: Malay, Intsik, Indianon, mga diri-bungtohanon, Mga iba."
2,ceb,https://ceb.wikipedia.org/wiki/Nepenthes_danseri,https://upload.wikimedia.org/wikipedia/commons/3/34/Nepenthes_halmahera_herbarium_specimen.jpg,Nepenthes danseri,,Nepenthes danseri,,"Isotype herbarium specimen of Nepenthes halmahera (previously identified as N.&#160;danseri) deposited at the Museum National d'Histoire Naturelle in Paris, France.",,image/jpeg,800,600,True,True,True,Espesye sa tanom nga bulak ang Nepenthes danseri. Una ning gihulagway ni Jebb ug Martin Roy Cheek. Ang Nepenthes danseri sakop sa kahenera nga Nepenthes sa kabanay nga Nepenthaceae. Pagka karon wala pay siak nga nalista ubos niini niya.
3,id,https://id.wikipedia.org/wiki/Suzuki_Carry,https://upload.wikimedia.org/wikipedia/commons/f/f5/2019_Suzuki_Carry_Flat_Deck_1.5_DC61T_%2820190826%29_01.jpg,Suzuki Carry,,Suzuki Carry,,English: 2019 Suzuki Carry Flat Deck 1.5 (DC61T),,image/jpeg,1933,3098,True,True,True,"Suzuki Carry adalah truk mini yang diproduksi oleh Suzuki. Versi microvan awalnya disebut Carry van sampai 1982 dinamai Suzuki Every. Di Jepang, Carry dan Every adalah mobil kei, tetapi ada juga Suzuki Every Landy yang ukurannya lebih besar, dengan mesin 1.3-liter 4 silinder. Mobil ini dijual dengan beberapa nama di banyak negara, juga satu-satunya mobil yang punya nama berbeda untuk merek Chevrolet dan Ford."
4,ceb,"https://ceb.wikipedia.org/wiki/Bombon,_Camarines_Sur",https://upload.wikimedia.org/wikipedia/commons/2/28/Ph_locator_camarines_sur_bombon.png,"Bombon, Camarines Sur",,"Bombon, Camarines Sur",,English: Map of Camarines Sur showing the location of Bombon,Mapa sa Camarines Sur nga nagapakita kon asa nahamutangan ang Bombon,image/png,250,300,True,True,True,"Ang Bombon usa ka 5th class na lungsod sa lalawigan sa Camarines Sur sa Bikol na rehiyon sa Luzon sa Pilipinas. Sumala sa 2015 na senso, ang Bombon may 16,512 ka tawo.
Usa ka personalidad nga nabuhay dinhi si dating Senador ug Sekretaryo sa Edukasyon Raul Roco."
5,war,https://war.wikipedia.org/wiki/Trece_Martires,https://upload.wikimedia.org/wikipedia/commons/9/9b/Ph_locator_cavite_trece_martires.png,Trece Martires,,Trece Martires,,English: Map of Cavite showing the location of Trece Martires,Mapa han Cavite nga nagpapakita kon hain nahimutang an Syudad han Trece Martires.,image/png,273,300,True,True,True,"An Syudad han Trece Martires usa nga ikatulo nga klase nga syudad ha lalawigan han Cavite ha Pilipinas. An syudad amo an lingkoranan han kagamhanan o gobyerno han Cavite, ngan diin in damo han mga opisina han kagamhanan han lalawigan nahamutang. Sumala han census han tuig 2007, mayda ini populasyon nga 90,177 ka tawo hin kahaluag hin katunaan nga 49.10 ka kwadrado nga kilometro.
Ginngaranan ini ha dungog han Napulo kag Tulo nga mga Martir han Cavite, nga ginpatay han mga Espanyol dida han Septyembre 12, 1896."
6,fil,https://tl.wikipedia.org/wiki/Alex_Compton,https://upload.wikimedia.org/wikipedia/commons/6/62/PBA_Alaska_Aces_Alex_Compton_%28crop%29.jpg,Alex Compton,,Alex Compton,,English: Alex Compton,,image/jpeg,523,372,True,True,True,Si Alexander M. Compton ay isang retiradong manlalaro ng basketbol at naging tagapagsanay ng Alaska Aces sa Philippine Basketball Association.
7,id,https://id.wikipedia.org/wiki/Lambretta,https://upload.wikimedia.org/wikipedia/commons/b/bb/1948_Lambretta_B_scooter_%285957287960%29_cropped.JPG,Lambretta,Model-Model Terkenal,Lambretta / Model-Model Terkenal,Produksi pertama: Lambretta B tahun 1948,"1948 Lambretta B scooter at the National Motor Museum in Beaulieu, Hampshire, England.",,image/jpeg,2136,2808,True,True,True,"Lambretta adalah merek sepeda motor skutik asal Milan, Italia, yang diproduksi oleh Ferdinando Innocenti. Nama Lambretta berasal dari nama sungai Lambro yang melewati distrik Lambrate, lokasi pabrik berdiri yang berada di pinggiran kota Milan dan juga berasal dari kata Lambrus yang artinya ""light, cepat dan gesit"". Para penggemar sepeda motor Lambretta disebut Lambrettisti.
Awalnya, Ferdinando Innocenti membangun pabrik baja di Roma pada tahun 1922 dan pabrik tabung baja di Milan tahun 1931. Kedua pabrik miliknya tersebut kemudian hancur akibat Perang Dunia Kedua. Di tengah reruntuhan puing-puing pabrik bajanya itu, Ferdinando Innocenti justru tidak berputus asa dan malah mendapatkan inspirasi untuk menciptakan alat transportasi. Bersama dengan Corradino D'Ascanio, seorang insinyur penerbangan yang pernah merancang konstruksi helikopter, Ferdinando Innocenti mengutarakan inspirasinya agar dibuatkan rancangan skuter yang kuat, terjangkau, dan tidak membuat kotor pakaian pengendaranya.
Di tangan Corradino D'Ascanio, skuter yang diinginkan Ferdinando Innocenti terwujud. Skuter ciptaan awalnya tersebut memiliki spar frame dan sistem perpindahan gigi pada setang kemudi."
8,vi,https://vi.wikipedia.org/wiki/Tr%C3%B9ng_Kh%C3%A1nh,https://upload.wikimedia.org/wikipedia/commons/2/20/Fengjie_overlook.jpg,Trùng Khánh,Kinh tế,Trùng Khánh / Kinh tế,Khu đô thị tại huyện Phụng Tiết ở đông bắc Trùng Khánh,中文: 重庆市奉节县新县城俯瞰图,,image/jpeg,502,670,True,True,True,"Trùng Khánh là một thành phố lớn ở Tây Nam Trung Quốc và là một trong bốn thành phố trực thuộc trung ương tại Cộng hòa Nhân dân Trung Hoa. Năm 2018, Trùng Khánh là đơn vị hành chính cấp trung ương đông thứ hai mươi về dân số với 30,7 triệu dân tương đương với Ghana, đứng thứ mười bảy về kinh tế với GDP danh nghĩa đạt 2.036 tỉ NDT tương đương với Pakistan. Trùng Khánh có chỉ số GDP đầu người xếp thứ mười Trung Quốc, đạt 66.210 NDT.
Thành phố trực thuộc trung ương Trùng Khánh được hình thành vào ngày 14 tháng 3 năm 1997 khi nó tách ra từ tỉnh Tứ Xuyên. Đến tháng 11 năm 2010, tổng dân số Trùng Khánh là 28.846.200 người, Trùng Khánh được chia thành 19 khu, 15 huyện, và 4 huyện tự trị.
Giản xưng chính thức của Trùng Khánh là ""Du"", nó được Quốc vụ viện phê chuẩn vào ngày 18 tháng 4 năm 1997. Chữ này lấy từ tên cũ của sông Gia Lăng, là sông Du Thủy.
Trùng Khánh cũng từng là một thành phố trực thuộc trung ương của Trung Hoa Dân Quốc, và đóng vai trò là thủ đô thời chiến của chính phủ Quốc dân Đảng trong Chiến tranh Trung-Nhật. Giản xưng này bắt nguồn từ tên cũ của đoạn sông Gia Lăng chảy qua Trùng Khánh rồi hợp vào Trường Giang."
9,fil,https://tl.wikipedia.org/wiki/Yakal,https://upload.wikimedia.org/wikipedia/commons/1/1f/Shorea_astylosa.jpg,Yakal,,Yakal,,Shorea astylosa,,image/jpeg,280,180,True,True,True,Ang yakal ay isang uri ng punungkahoy na likas sa Pilipinas.
