annotation_id,annotator,email,created_at,timestamp,id,image,lead_time,text_cap_en,text_cap_native,text_culture_loc,text_image_loc,text_submitter_native_lang,updated_at
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2363,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Buddha_Wat_Wisunarat_Luang_Prabang%20-%20B%C3%B6rje%20Karlsson.jpg,,"Golden Buddha statue in Wat Wisunarat, Luang Prabang, Laos.","Estátua dourada de Buda no Wat Wisunarat, Luang Prabang, Laos.",Laos,"Luang Prabang, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2364,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Buddhist_celebration%20-%20B%C3%B6rje%20Karlsson.jpg,,"Buddhist ceremony in the streets of Vientiane, Laos.","Cerimônia budista nas ruas de Vientiane, Laos.",Laos,"Vientiane, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2365,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Lao_food-Pork_Larb%20-%20B%C3%B6rje%20Karlsson.jpg,,"Traditional Lao food, Pork Larb, in a small restaurante in Vientiane, Laos.","Prato tradicional do Laos, Larb de porco, em um pequeno restaurante em Vientiane, Laos.",Laos,"Vientiane, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2366,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/WP_20151226_06_51_30%20-%20B%C3%B6rje%20Karlsson.jpg,,"Buddha's Hand citrus fruit, a Southeast Asian fruit, in a Chinese market in Vientiane, Laos.","Fruta Mão de Buda, uma fruta do Sudeste Asiático, em um mercado chinês em Vientiane, Laos.",Laos,"Vientiane, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2367,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/WP_20151227_08_59_33%20-%20B%C3%B6rje%20Karlsson.jpg,,"Metal tables for the ubiquitous local beer, Beerlao, stashed in a town square during preparations for an event.","Mesas de metal para a famosa cerveja local Beerlao, empilhadas em uma praça durante os preparativos para um evento.",Laos,"Vientiane, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2368,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/WP_20151227_09_32_53%20-%20B%C3%B6rje%20Karlsson.jpg,,Local Thai version of Heinz's chilli sauce sriracha. Photo taken at a food joint in Vientiane.,Versão tailandesa do molho de pimenta Sriracha da Heinz. Foto tirada em um restaurante de Vientiane.,"Laos, Thailand","Vientiane, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2369,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/WP_20151227_10_33_04%20-%20B%C3%B6rje%20Karlsson.jpg,,"Wat Si Saket, a major buddhist temple in Vientiane, Laos.","Wat Si Saket, um importante templo budista em Vientiane, Laos.",Laos,"Vientiane, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2370,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/WP_20151227_10_43_53%20-%20B%C3%B6rje%20Karlsson.jpg,,"Far view of the main building in Wat Si Saket, a major buddhist temple in Vientiane, Laos.","Vista distante do edifício principal do Wat Si Saket, um importante templo budista em Vientiane, Laos.",Laos,"Vientiane, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2371,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/WP_20151228_08_24_59%20-%20B%C3%B6rje%20Karlsson.jpg,,Outside view of the main bus station just outside Laos' capital Vientiane. A little of the local life.,"Vista externa da principal estação rodoviária nos arredores da capital do Laos, Vientiane. Um pouco da vida local.",Laos,"Vientiane, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2372,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/WP_20151228_08_26_58%20-%20B%C3%B6rje%20Karlsson.jpg,,Local intercity bus common throughout Laos. The storage area is used to carry anything.,"Ônibus intermunicipal local, comum em todo o Laos. A área de carga é usada para transportar qualquer coisa.",Laos,"Vientiane, Laos",Portuguese (por),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,bulk_2373,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/WP_20151228_08_31_02%20-%20B%C3%B6rje%20Karlsson.jpg,,Old school local intercity bus tickets. Still quite common throughout Laos.,"Passagens de ônibus intermunicipais antigas a mão, ainda bastante comuns em todo o Laos.",Laos,"Vientiane, Laos",Portuguese (por),
